"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","cons.price.idx","cons.conf.idx","nr.employed","y"
"10289",52,"blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",3,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"33680",36,"blue-collar","married","high.school","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"1497",37,"blue-collar","married","basic.6y","no","no","no","telephone","may","thu",3,999,0,"nonexistent",93.994,-36.4,5191,"no"
"1111",46,"admin.","single","university.degree","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11448",36,"self-employed","divorced","basic.4y","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"36805",35,"entrepreneur","divorced","university.degree","no","yes","no","telephone","jun","mon",6,999,0,"nonexistent",92.963,-40.8,5076.2,"yes"
"23098",45,"technician","married","high.school","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"26686",41,"blue-collar","married","basic.4y","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"15475",57,"retired","divorced","basic.4y","no","no","no","cellular","jul","fri",4,999,0,"nonexistent",93.918,-42.7,5228.1,"yes"
"33125",33,"blue-collar","single","basic.6y","no","yes","no","cellular","may","tue",3,999,1,"failure",92.893,-46.2,5099.1,"yes"
"22219",30,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",3,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"35332",34,"admin.","single","university.degree","no","no","no","cellular","may","fri",4,999,1,"failure",92.893,-46.2,5099.1,"no"
"34943",51,"technician","married","professional.course","no","yes","no","cellular","may","fri",1,999,1,"failure",92.893,-46.2,5099.1,"no"
"3039",28,"services","married","university.degree","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"40866",40,"technician","married","professional.course","no","yes","no","telephone","oct","tue",1,999,0,"nonexistent",94.601,-49.5,4963.6,"no"
"37830",51,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",92.201,-31.4,5076.2,"yes"
"11885",27,"entrepreneur","single","university.degree","no","no","no","telephone","jun","fri",5,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"24795",49,"management","married","university.degree","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",93.2,-42,5195.8,"no"
"16247",43,"entrepreneur","married","university.degree","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"30061",50,"admin.","married","university.degree","no","yes","yes","telephone","apr","thu",3,999,0,"nonexistent",93.075,-47.1,5099.1,"yes"
"16481",32,"blue-collar","divorced","basic.6y","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",93.918,-42.7,5228.1,"no"
"31116",44,"blue-collar","married","basic.4y","no","yes","yes","cellular","may","wed",1,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"32264",32,"admin.","married","university.degree","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",92.893,-46.2,5099.1,"no"
"21369",33,"technician","married","university.degree","no","yes","no","cellular","aug","mon",7,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
"774",43,"technician","married","professional.course","no","no","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"10716",47,"admin.","married","university.degree","no","yes","no","telephone","jun","tue",2,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"414",57,"retired","married","basic.4y","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"11430",35,"blue-collar","married","basic.6y","no","no","no","telephone","jun","fri",1,999,0,"nonexistent",94.465,-41.8,5228.1,"no"
"2890",32,"technician","divorced","professional.course","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",93.994,-36.4,5191,"no"
"4242",53,"blue-collar","married","high.school","no","no","no","telephone","may","tue",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"33653",36,"blue-collar","divorced","basic.9y","no","no","no","cellular","may","wed",3,999,1,"failure",92.893,-46.2,5099.1,"no"
"25903",30,"admin.","single","high.school","no","yes","no","cellular","nov","wed",2,999,0,"nonexistent",93.2,-42,5195.8,"no"
"2809",34,"technician","divorced","professional.course","no","no","no","telephone","may","wed",1,999,0,"nonexistent",93.994,-36.4,5191,"no"
"19310",57,"blue-collar","married","basic.4y","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",93.444,-36.1,5228.1,"no"
